title,mood,theme,catchiness,song_length,number_of_listens
brutal,middle,spite,2,1,598763836
traitor,sad,heartbreak,5,3,1455741644
drivers license,sad,heartbreak,5,3,2085414755
1 step forward 3 steps back,sad,heartbreak,4,1,442852318
deja vu,middle,heartbreak,5,3,1498972290
good 4 u,upbeat,spite,5,1,2079056496
enough for you,sad,heartbreak,4,2,428070534
happier,middle,spite,3,1,1045304495
jealousy jealousy,upbeat,spite,3,1,811135040
favorite crime,sad,heartbreak,3,1,964590721
hope ur ok,sad,growth,2,2,308531886
all-american b*tch,upbeat,spite,3,1,171682210
bad idea right?,upbeat,spite,5,2,352515865
vampire,sad,heartbreak,5,3,823180586
lacy,middle,spite,1,1,129711205
ballad of a homeschooled girl,upbeat,spite,3,2,101380044
making the bed,sad,growth,4,2,110682287
logical,sad,heartbreak,3,3,102962228
get him back,upbeat,spite,5,2,223064416
love is embarassing,upbeat,spite,2,1,113384324
the grudge,sad,heartbreak,4,2,140532013
pretty isn't pretty,middle,growth,4,2,82552857
teenage dream,sad,growth,5,3,67849088
All I Want,sad,heartbreak,5,1,724711676
Wondering,sad,spite,5,3,14456213
Can't Catch Me Now,middle,growth,2,2,198034691
I Think I Kinda You Know,upbeat,love,1,1,42961675
Just for a Moment,upbeat,love,2,2,93076570
Out of the Old,upbeat,growth,2,1,41443285
The Best Part,upbeat,love,1,1,24243529
scared of my guitar,sad,heartbreak,5,3,10014872
obsessed,upbeat,spite,4,1,34512397
so american,upbeat,love,5,1,20122342
stranger,sad,growth,3,2,12414845
the girl i've always been,upbeat,growth,1,1,9518147
